couldn't open "transcript": permission denied
# Reading pref.tcl
cd {C:/Users/Mendel Wells/Desktop/code}
do do_lab7.do
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:33 on Jun 29,2023
# vlog -reportprogress 300 E.v 
# -- Compiling module E
# 
# Top level modules:
# 	E
# End time: 19:56:34 on Jun 29,2023, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:34 on Jun 29,2023
# vlog -reportprogress 300 f_function.v 
# -- Compiling module f_function
# 
# Top level modules:
# 	f_function
# End time: 19:56:34 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:34 on Jun 29,2023
# vlog -reportprogress 300 input_register.v 
# -- Compiling module input_register
# 
# Top level modules:
# 	input_register
# End time: 19:56:34 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:34 on Jun 29,2023
# vlog -reportprogress 300 IP.v 
# -- Compiling module IP
# 
# Top level modules:
# 	IP
# End time: 19:56:34 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:34 on Jun 29,2023
# vlog -reportprogress 300 i_IP.v 
# -- Compiling module i_IP
# 
# Top level modules:
# 	i_IP
# End time: 19:56:34 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:34 on Jun 29,2023
# vlog -reportprogress 300 output_register.v 
# -- Compiling module output_register
# 
# Top level modules:
# 	output_register
# End time: 19:56:34 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:35 on Jun 29,2023
# vlog -reportprogress 300 P.v 
# -- Compiling module P
# 
# Top level modules:
# 	P
# End time: 19:56:35 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:35 on Jun 29,2023
# vlog -reportprogress 300 PC1.v 
# -- Compiling module PC1
# 
# Top level modules:
# 	PC1
# End time: 19:56:35 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:35 on Jun 29,2023
# vlog -reportprogress 300 PC2.v 
# -- Compiling module PC2
# 
# Top level modules:
# 	PC2
# End time: 19:56:35 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:35 on Jun 29,2023
# vlog -reportprogress 300 s1.v 
# -- Compiling module s1
# 
# Top level modules:
# 	s1
# End time: 19:56:35 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:36 on Jun 29,2023
# vlog -reportprogress 300 s2.v 
# -- Compiling module s2
# 
# Top level modules:
# 	s2
# End time: 19:56:36 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:36 on Jun 29,2023
# vlog -reportprogress 300 s3.v 
# -- Compiling module s3
# 
# Top level modules:
# 	s3
# End time: 19:56:36 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:36 on Jun 29,2023
# vlog -reportprogress 300 s4.v 
# -- Compiling module s4
# 
# Top level modules:
# 	s4
# End time: 19:56:36 on Jun 29,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Model Technology ModelSim - Intel FPGA Edition vlog 2020.3 Compiler 2020.07 Jul 22 2020
# Start time: 19:56:36 on Jun 29,2023
# vlog -reportprogress 300 s5.v 
# -- Compiling module s5
# 
# Top level modules:
# 	s5
